408,01-05-2021,India,19164969,3268710,3268710,15684406,211853
409,02-05-2021,India,19557457,3349644,6618354,15992271,215542
410,03-05-2021,India,19925604,3413642,10031996,16293003,218959
411,04-05-2021,India,20282833,3447133,13479129,16613292,222408
412,05-05-2021,India,20665148,3487229,16966358,16951731,226188
413,06-05-2021,India,21077410,3566398,20532756,17280844,230168
414,07-05-2021,India,21491598,3645164,24177920,17612351,234083
415,08-05-2021,India,21892676,3723446,27901366,17930960,238270
416,09-05-2021,India,22296414,3736648,31638014,18317404,242362
417,10-05-2021,India,22662575,3745237,35383251,18671222,246116
418,11-05-2021,India,22992517,3715221,39098472,19027304,249992
419,12-05-2021,India,23340938,3704099,42802571,19382642,254197
420,13-05-2021,India,23703665,3710525,46513096,19734823,258317
421,14-05-2021,India,23703665,3710525,50223621,19734823,258317
422,15-05-2021,India,24046809,3704893,53928514,20079599,262317
423,16-05-2021,India,24684077,3618458,57546972,20795335,270284
424,17-05-2021,India,24965463,3516997,61063969,21174076,274390
425,18-05-2021,India,25228996,3353765,64417734,21596512,278719
426,19-05-2021,India,25496330,3226719,67644453,21986363,283248
427,20-05-2021,India,25772440,3129878,70774331,22355440,287122
428,21-05-2021,India,26031991,3027925,73802256,22712735,291331
429,22-05-2021,India,26289290,2923400,76725656,23070365,295525
430,23-05-2021,India,26530132,2805399,79531055,23425467,299266
431,24-05-2021,India,26752447,2720716,82251771,23728011,303720
432,25-05-2021,India,26948874,2586782,84838553,24054861,307231
433,26-05-2021,India,27157795,2495591,87334144,24350816,311388
434,27-05-2021,India,27369093,2419907,89754051,24633951,315235
435,28-05-2021,India,27555457,2343152,92097203,24893410,318895
436,30-05-2021,India,27894800,2114508,94211711,25454320,325972
437,31-05-2021,India,28047534,2026092,96237803,25692342,329100
438,01-06-2021,India,28175044,1895520,98133323,25947629,331895
439,02-06-2021,India,28307832,1793645,99926968,26179085,335102
440,03-06-2021,India,28441986,1713413,101640381,26390584,337989
441,04-06-2021,India,28574350,1635993,103276374,26597655,340702
442,05-06-2021,India,28694879,1555248,104831622,26795549,344082
443,06-06-2021,India,28809339,1477799,106309421,26984781,346759
444,07-06-2021,India,28909975,1401609,107711030,27159180,349186
445,08-06-2021,India,28996473,1303702,109014732,27341462,351309
446,09-06-2021,India,29089069,1231415,110246147,27504126,353528
447,10-06-2021,India,29183121,1167952,111414099,27655493,359676
448,11-06-2021,India,29274823,1121671,112535770,27790073,363079
449,12-06-2021,India,29359155,1080690,113616460,27911384,367081
450,13-06-2021,India,29439989,1026159,114642619,28043446,370384
451,14-06-2021,India,29510410,973158,115615777,28162947,374305
452,15-06-2021,India,29570881,913378,116529155,28280472,377031
453,16-06-2021,India,29633105,865432,117394587,28388100,379573
454,17-06-2021,India,29700313,826740,118221327,28491670,381903
455,18-06-2021,India,29762793,798656,119019983,28580647,383490
456,19-06-2021,India,29823546,760019,119780002,28678390,385137
457,20-06-2021,India,29881965,729243,120509245,28766009,386713
458,21-06-2021,India,29935221,702887,121212132,28844199,388135
459,22-06-2021,India,29977861,662521,121874653,28926038,389302
460,23-06-2021,India,30028709,643194,122517847,28994855,390660
461,25-06-2021,India,30134445,612868,123130715,29128267,393310
462,26-06-2021,India,30183143,595565,123726280,29193085,394493
463,27-06-2021,India,30233183,586403,124312683,29251029,395751
464,28-06-2021,India,30279331,572994,124885677,29309607,396730
465,29-06-2021,India,30316897,552659,125438336,29366601,397637
466,30-06-2021,India,30362848,537064,125975400,29427330,398454
467,01-07-2021,India,30411634,523257,126498657,29488918,399459
